"Source:","C:\Users\grego\Documents\KiCad\7.0\projects\Speaker.kicad_sch"
"Date:","11/2/2023 6:00:55 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","13"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","CUI_purchase_URL","Check_prices","Description","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PARTREV","Package","Price","Purchase-URL","SNAPEDA_PN","STANDARD","SnapEDA_Link"
"1","1","BT1","1291-66","elec240_ornament_symbol:1291-66","elec240_ornament_footprint:BAT_1291-66","","","In Stock","","https://www.snapeda.com/parts/1291-66/Keystone+Electronics/view-part/?ref=eda","Battery Holder, Lithium-Ion, THM, 1 Cell, Cell Size 9V, Alum/Tin | Keystone Electronics 1291-66","Keystone Electronics","21.77 mm","Keystone Electronics","1291-66","A","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=5529493&manufacturer=Keystone Electronics&part_name=1291-66&search_term=1291-66","1291-66","Manufacturer Recommendations","https://www.snapeda.com/parts/1291-66/Keystone+Electronics/view-part/?ref=snap"
"2","1","C5","0.1uF","elec240_ornament_symbol:C","elec240_ornament_footprint:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","","","","","",""
"3","1","C7","220uF","elec240_ornament_symbol:C","elec240_ornament_footprint:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","","","","","",""
"4","1","C8","10uF","elec240_ornament_symbol:C","elec240_ornament_footprint:CP_Radial_D6.3mm_P2.50mm","~","","","","","","","","","","","","","","","",""
"5","1","J2","SJ1-3535NG-PI","elec240_ornament_symbol:SJ1-3535NG-PI","elec240_ornament_footprint:CUI_SJ1-3535NG-PI","","","In Stock","https://www.cuidevices.com/product/interconnect/connectors/audio-connectors/jacks/sj1-3535ng-pi?utm_source=snapeda.com&utm_medium=referral&utm_campaign=snapedaBOM","https://www.snapeda.com/parts/SJ1-3535NG-PI/CUI+Devices/view-part/?ref=eda","3.5 mm Right-Angle Stereo Jack, 5 pin PCB PCB Mount, Isolated Ground, Pink","CUI","","CUI Devices","SJ1-3535NG-PI","1.02","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=464338&manufacturer=CUI Devices&part_name=SJ1-3535NG-PI&search_term=sj1-3535ng-pi","","Manufacturer recommendation","https://www.snapeda.com/parts/SJ1-3535NG-PI/CUI+Devices/view-part/?ref=snap"
"6","1","LS2","SMS-1508MS-HT-R","elec240_ornament_symbol:SMS-1508MS-HT-R","elec240_ornament_footprint:SPKR_SMS-1508MS-HT-R","","","In Stock","","https://www.snapeda.com/parts/SMS-1508MS-HT-R/PUI+Audio%252C+Inc./view-part/?ref=eda","SPEAKER .8W 8OHM 92DB 800HZ","PUI Audio, Inc.","4 mm","PUI Audio, Inc.","SMS-1508MS-HT-R","3/6/2020","None","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=5873664&manufacturer=PUI Audio, Inc.&part_name=SMS-1508MS-HT-R&search_term=speaker","","Manufacturer recommendations","https://www.snapeda.com/parts/SMS-1508MS-HT-R/PUI+Audio%252C+Inc./view-part/?ref=snap"
"7","1","R1","COM-09806","elec240_ornament_symbol:COM-09806","elec240_ornament_footprint:TRIM_COM-09806","","","In Stock","","https://www.snapeda.com/parts/COM-09806/SparkFun+Electronics/view-part/?ref=eda","10 kOhms 0.5W, 1/2W PC Pins Through Hole Trimmer Potentiometer Cermet 1.0 Turn Top Adjustment","Sparkfun","5.08 mm","SparkFun Electronics","COM-09806","N/A","DIP-3 SparkFun Electronics","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=1133817&manufacturer=SparkFun Electronics&part_name=COM-09806&search_term=com-09806","","Manufacturer Recommendations","https://www.snapeda.com/parts/COM-09806/SparkFun+Electronics/view-part/?ref=snap"
"8","1","R2","10R","elec240_ornament_symbol:R_US","elec240_ornament_footprint:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","","","","",""
"9","4","TP6, TP7, TP8, TP10","TestPoint_Probe","elec240_ornament_symbol:TestPoint_Probe","elec240_ornament_footprint:TestPoint_THTPad_3.0x3.0mm_Drill1.5mm","~","","","","","","","","","","","","","","","",""
"10","1","U1","LM386","Amplifier_Audio:LM386","elec240_ornament_footprint:DIP794W45P254L959H508Q8","http://www.ti.com/lit/ds/symlink/lm386.pdf","","","","","","","","","","","","","","","",""
